comparison,model,tag,field,matched_k,max_k_relative_gap,max_absolute_difference,max_relative_difference,reference_k,candidate_k,reference_value,candidate_value,zero_to_nonzero
stock nominal-vs-variant,5_Kmimic_1,SAB_IC_D_DERIV,k,252,3.6637359812630166e-15,3.552713678800501e-14,3.694828994153563e-15,0.021597015726897976,0.021597015726897897,0.021597015726897976,0.021597015726897897,0
stock nominal-vs-variant,5_Kmimic_1,SAB_IC_D_DERIV,a,252,3.6637359812630166e-15,2.779326858178173e-22,2.781867601668109e-15,0.021597015726897976,0.021597015726897897,9.990866770624122e-08,9.99086677062415e-08,0
stock nominal-vs-variant,5_Kmimic_1,SAB_IC_D_DERIV,derivative,252,3.6637359812630166e-15,1.875,3.354663723065475e-13,0.037789120985673615,0.037789120985673566,-2035467238.7934835,-2035467238.7928007,0
stock nominal-vs-variant,5_Kmimic_1,SAB_IC_D_DERIV,estimated_absolute_error,252,3.6637359812630166e-15,3.0,2.8651608642263306e-09,0.14400407710623783,0.14400407710623778,9905673.363967896,9905673.392349243,0
corrected nominal-vs-variant,5_Kmimic_1,SAB_IC_TRACE,k,252,3.6637359812630166e-15,3.552713678800501e-14,3.694828994153563e-15,0.021597015726897976,0.021597015726897897,0.021597015726897976,0.021597015726897897,0
corrected nominal-vs-variant,5_Kmimic_1,SAB_IC_TRACE,a,252,3.6637359812630166e-15,2.779326858178173e-22,2.781867601668109e-15,0.021597015726897976,0.021597015726897897,9.990866770624122e-08,9.99086677062415e-08,0
corrected nominal-vs-variant,5_Kmimic_1,SAB_IC_TRACE,tau,252,3.6637359812630166e-15,1.8041124150158794e-16,3.5966256184790614e-15,0.021597015726897976,0.021597015726897897,0.046302693513092706,0.04630269351309287,0
corrected nominal-vs-variant,5_Kmimic_1,SAB_IC_TRACE,C,252,3.6637359812630166e-15,3.7280842661857605e-06,3.2174326090586637e-06,0.21975026577868326,0.2197502657786832,-0.7125841034787412,-0.71258181078741,0
corrected nominal-vs-variant,5_Kmimic_1,SAB_IC_TRACE,D1,252,3.6637359812630166e-15,1.2960299500264227e-11,7.568489849551605e-15,0.20532242031726508,0.20532242031726503,1712.4023098256596,1712.4023098256725,0
corrected nominal-vs-variant,5_Kmimic_1,SAB_IC_TRACE,D2,252,3.6637359812630166e-15,0.0,,,,,,0
corrected nominal-vs-variant,5_Kmimic_1,SAB_IC_TRACE,E,252,3.6637359812630166e-15,2.2737367544323206e-11,1.3243746727048746e-14,0.021597015726897976,0.021597015726897897,-0.00020466303736222036,-0.00020466303736221765,0
corrected nominal-vs-variant,5_Kmimic_1,SAB_IC_TRACE,A1,252,3.6637359812630166e-15,5.638867150992155e-11,1.1466891712347529e-14,0.09711357935662877,0.0971135793566287,1150.065205683158,1150.0652056831448,0
corrected nominal-vs-variant,5_Kmimic_1,SAB_IC_TRACE,A2,252,3.6637359812630166e-15,0.0,,,,,,0
corrected nominal-vs-variant,5_Kmimic_1,SAB_IC_TRACE,Omega,252,3.6637359812630166e-15,3.469446951953614e-18,1.7087462184396652e-16,0.021597015726897976,0.021597015726897897,0.020304050505064033,0.02030405050506403,0
corrected nominal-vs-variant,5_Kmimic_1,SAB_IC_TRACE,Gamma1,252,3.6637359812630166e-15,4020089389056.0,1.467584955965202e-14,0.1656458452983651,0.16564584529836504,1.2057404368718246e+26,1.2057404368718423e+26,0
corrected nominal-vs-variant,5_Kmimic_1,SAB_IC_TRACE,pi_scaled,252,3.6637359812630166e-15,1.3803953322230839e-14,2.531166077576855e-08,0.21975026577868326,0.2197502657786832,5.453594469567832e-07,5.453594331528299e-07,0
corrected nominal-vs-variant,5_Kmimic_1,SAB_IC_TRACE,pi_velocity_scaled,252,3.6637359812630166e-15,2.386512570895505e-09,5.084635328240733e-08,0.21975026577868326,0.2197502657786832,0.046935766615169044,0.046935764228656474,0
corrected nominal-vs-variant,5_Kmimic_1,SAB_IC_TRACE,z,252,3.6637359812630166e-15,2.7755575615628914e-16,4.770680517751744e-15,0.04650968775470227,0.046509687754702204,-0.000499979986207962,-0.0004999799862079596,0
corrected nominal-vs-variant,5_Kmimic_1,SAB_IC_TRACE,dz,252,3.6637359812630166e-15,4.949599757830825e-14,7.652018644486474e-09,0.2918894930857741,0.29188949308577405,6.260000451214316e-08,6.260000403312676e-08,0
corrected nominal-vs-variant,5_Kmimic_1,SAB_IC_TRACE,delta_cdm,252,3.6637359812630166e-15,1.734723475976807e-17,4.178862147568606e-15,0.005398277477351483,0.0053982774773514725,7.284338527333934e-08,7.284338527333903e-08,0
corrected nominal-vs-variant,5_Kmimic_1,SAB_IC_TRACE,delta_baryon,252,3.6637359812630166e-15,1.9081958235744878e-17,4.178862147568606e-15,0.005398277477351483,0.0053982774773514725,7.284338527333934e-08,7.284338527333903e-08,0
corrected nominal-vs-variant,5_Kmimic_1,SAB_IC_TRACE,delta_photon,252,3.6637359812630166e-15,2.42861286636753e-17,4.0880173182736365e-15,0.005398277477351483,0.0053982774773514725,9.712451369778578e-08,9.712451369778538e-08,0
corrected nominal-vs-variant,5_Kmimic_1,SAB_IC_TRACE,adotoa,252,3.6637359812630166e-15,2.2737367544323206e-13,2.7962699142720076e-15,0.021597015726897976,0.021597015726897897,21.59882071160226,21.5988207116022,0
corrected nominal-vs-variant,5_Kmimic_1,SAB_IC_TRACE,h0_Mpc,252,3.6637359812630166e-15,0.0,0.0,7.089117726731538e-06,7.089117726731537e-06,0.00023349486663870643,0.00023349486663870643,0
corrected nominal-vs-variant,5_Kmimic_1,SAB_IC_TRACE,E_dot,252,3.6637359812630166e-15,0.0,,,,,,0
corrected nominal-vs-variant,5_Kmimic_1,SAB_IC_TRACE,ic_type,252,3.6637359812630166e-15,0.0,0.0,7.089117726731538e-06,7.089117726731537e-06,1.0,1.0,0
corrected nominal-vs-variant,5_Kmimic_1,SAB_IC_C_DERIV,k,252,3.6637359812630166e-15,3.552713678800501e-14,3.694828994153563e-15,0.021597015726897976,0.021597015726897897,0.021597015726897976,0.021597015726897897,0
corrected nominal-vs-variant,5_Kmimic_1,SAB_IC_C_DERIV,a,252,3.6637359812630166e-15,2.779326858178173e-22,2.781867601668109e-15,0.021597015726897976,0.021597015726897897,9.990866770624122e-08,9.99086677062415e-08,0
corrected nominal-vs-variant,5_Kmimic_1,SAB_IC_C_DERIV,derivative,252,3.6637359812630166e-15,20282.625,1.0205843104865987e-09,0.19450153622120145,0.1945015362212014,-15835842599122.752,-15835842615284.564,0
corrected nominal-vs-variant,5_Kmimic_1,SAB_IC_C_DERIV,estimated_absolute_error,252,3.6637359812630166e-15,19156.625,5.328973211531481e-09,0.16203888393301055,0.1620388839330105,1210604931554.1562,1210604938005.4375,0
corrected nominal-vs-variant,5_Kmimic_1,SAB_IC_D_DERIV,k,252,3.6637359812630166e-15,3.552713678800501e-14,3.694828994153563e-15,0.021597015726897976,0.021597015726897897,0.021597015726897976,0.021597015726897897,0
corrected nominal-vs-variant,5_Kmimic_1,SAB_IC_D_DERIV,a,252,3.6637359812630166e-15,2.779326858178173e-22,2.781867601668109e-15,0.021597015726897976,0.021597015726897897,9.990866770624122e-08,9.99086677062415e-08,0
